City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,san andres,12.5847,-81.7006,32.01,70,75,3.09,CO,1685986345
280,ribeira grande,38.5167,-28.7,22.22,68,20,6.71,PT,1685986346
281,lan sak,15.4529,99.5761,26.77,74,100,1.87,TH,1685986346
282,tolanaro,-25.0319,46.9987,24.04,73,20,5.14,MG,1685986346
283,grand falls-windsor,48.9332,-55.6649,14.17,77,100,0.89,CA,1685986346
284,kristiansund,63.1115,7.732,10.03,81,75,5.14,NO,1685986347
285,mejit,10.2753,170.8646,27.73,80,97,7.49,MH,1685986347
286,kokoda,-8.8785,147.7407,23.43,95,90,0.34,PG,1685986347
287,leava,-14.3,-178.1667,27.75,73,96,9.24,WF,1685986347
288,san antonio de pale,-1.4014,5.6325,25.5,87,78,4.95,GQ,1685986348
289,semera,11.501,41.201,34.02,30,73,2.99,ET,1685986348
290,bredasdorp,-34.5322,20.0403,11.2,69,100,0.67,ZA,1685986348
291,sur,22.5667,59.5289,33.71,45,0,2.78,OM,1685986348
292,ulsteinvik,62.3432,5.8487,13.2,81,65,5.36,NO,1685986349
293,choyr,46.3611,108.3611,12.9,45,20,3.14,MN,1685986349
294,minas de marcona,-15.2119,-75.1103,19.51,55,20,4.84,PE,1685986349
295,ryotsu-minato,38.0833,138.4333,17.22,80,28,3.29,JP,1685986349
296,payson,40.0444,-111.7321,24.95,43,40,3.09,US,1685986350
297,fort-shevchenko,44.5086,50.263,22.94,84,36,4.72,KZ,1685986350
298,minas de barroteran,27.6333,-101.2833,28.38,54,8,3.63,MX,1685986350
299,yemva,62.59,50.8594,9.94,79,83,3.98,RU,1685986351
300,zhezqazghan,47.7833,67.7667,27.2,22,74,1.14,KZ,1685986351
301,aden,12.7794,45.0367,31.34,70,78,0.36,YE,1685986351
302,holualoa,19.6228,-155.9522,22.1,84,40,2.06,US,1685986158
303,paragominas,-2.9667,-47.4833,31.08,55,47,1.68,BR,1685986273
304,siwa oasis,29.2041,25.5195,32.87,20,77,4.38,EG,1685986352
305,coaldale,49.7167,-112.6185,22.62,49,40,4.63,CA,1685986352
306,preobrazheniye,42.9019,133.9064,13.05,81,72,1.98,RU,1685986352
307,albu kamal,34.45,40.9186,31.03,24,32,2.68,SY,1685986352
308,nova sintra,14.8667,-24.7167,20.91,79,11,2.93,CV,1685986353
309,san-pedro,4.7485,-6.6363,26.07,86,100,3.48,CI,1685986353
310,ataq,14.5377,46.8319,26.5,63,55,5.24,YE,1685986353
311,wailua homesteads,22.0669,-159.378,23.25,93,0,2.57,US,1685986353
312,isiro,2.7739,27.616,20.27,97,90,1.04,CD,1685986353
313,hailar,49.2,119.7,9.64,48,2,3.62,CN,1685986353
314,bontang,0.1333,117.5,25.01,90,62,3.08,ID,1685986354
315,uvira,-3.4067,29.1458,24.16,76,91,0.43,CD,1685986354
316,revda,56.801,59.9303,11.33,60,28,1.39,RU,1685986354
317,coquimbo,-29.9533,-71.3436,14.85,82,75,5.66,CL,1685986348
318,hargeysa,9.56,44.065,26.31,49,79,5.04,SO,1685986354
319,bikenibeu village,1.3673,173.1241,27.98,83,75,1.54,KI,1685986354
320,boyolangu,-8.1181,111.8935,23.52,94,89,1.93,ID,1685986354
321,atar,20.5169,-13.0499,38.23,11,2,6.04,MR,1685986355
322,talca,-35.4333,-71.6667,17.51,39,52,2.83,CL,1685986106
323,puerto aysen,-45.4,-72.7,7.02,100,100,3.09,CL,1685986355
324,anori,-3.7728,-61.6442,29.54,75,38,1.66,BR,1685986355
325,beinamar,8.6698,15.3813,30.88,46,84,1.99,TD,1685986355
326,tinogasta,-28.0632,-67.5649,20.96,48,38,1.82,AR,1685986356
327,luza,60.6308,47.2512,10.23,83,88,3.22,RU,1685986356
328,kone,-21.0595,164.8658,20.69,82,100,2.08,NC,1685986356
